"place_id","place_en","place_es","planned_category","zone","app_catalog_status","requested_filename","current_app_image","image_status","image_needed","recommended_asset_count","copy_status","coordinates_status","source_url","source_or_author_to_fill","license_or_permission","notes"
"salt-lake-city-airport","salt lake city airport","salt lake city airport","transportation","Salt Lake corridor","Active in app","salt-lake-city-airport.jpg","/images/passenger/around-you/curated/salt-lake-city-airport-terminal.webp","Curated Commons asset","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:2015-04-14_00_11_43_View_towards_the_International_Terminal_and_Concourse_D_from_the_inner_end_of_Concourse_C_in_Salt_Lake_City_International_Airport,_Utah.jpg","Wikimedia Commons — Famartin","CC BY-SA 4.0 — attribution and share-alike required","Curated terminal/interior view rather than an aerial; optimized to local WebP with metadata stripped."
"great-salt-lake","Great Salt Lake","Gran Lago Salado","nature","Salt Lake corridor","Active in app","great-salt-lake.jpg","/images/passenger/around-you/user/great-salt-lake-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_6450.jpeg; user-owned original optimized to local WebP with metadata stripped."
"parleys-canyon","Parley's Canyon","Cañón Parley","mountain","Salt Lake corridor","Active in app","parleys-canyon.jpg","","Original staged — rights recorded","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:Parleys_Canyon,_Interstate_80,_Utah.jpg","Wikimedia Commons — Ken Lund","CC BY-SA 2.0 — attribution and share-alike required","Original staged in assets-source/passenger/around-you; rights recorded. Optimize/crop to public WebP in P1.3. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"lagoon-amusement-park","Lagoon","Lagoon","culture","Salt Lake corridor","Active in app","lagoon-amusement-park.jpg","/images/passenger/around-you/curated/lagoon-exterior.webp","Curated Commons asset","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:Lagoon_Roller_Coaster_winter.jpeg","Wikimedia Commons — Ntsimp","CC0 — no attribution required","Curated exterior attraction view; optimized to local WebP with metadata stripped."
"ogden","Ogden","Ogden","history","Salt Lake corridor","Active in app","ogden.jpg","","Original staged — rights recorded","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:Downtown_ogden.jpg","Wikimedia Commons — Weberstate","Public domain","Original staged in assets-source/passenger/around-you; rights recorded. Optimize/crop to public WebP in P1.3. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"antelope-island","Antelope Island","Isla Antelope","nature","Salt Lake corridor","Active in app","antelope-island.jpg","/images/passenger/around-you/user/antelope-island-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_6483.jpeg; user-owned original optimized to local WebP with metadata stripped."
"park-city","Park City","Park City","city","Park City / Wasatch Back","Active in app","park-city.jpg","/images/passenger/around-you/user/park-city-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_4516.JPG; user-owned original optimized to local WebP with metadata stripped."
"historic-main-street","Historic Main Street","Historic Main Street","culture","Salt Lake corridor","Active in app","historic-main-street.jpg","/images/passenger/around-you/user/historic-main-street-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_8782.jpeg; user-owned original optimized to local WebP with metadata stripped."
"utah-olympic-park","Utah Olympic Park","Parque Olímpico de Utah","sports","Salt Lake corridor","Active in app","utah-olympic-park.jpg","/images/passenger/around-you/user/utah-olympic-park-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_1099.JPG; user-owned original optimized to local WebP with metadata stripped."
"kimball-junction","Kimball Junction","Kimball Junction","culture","Park City / Wasatch Back","Active in app","kimball-junction.jpg","/images/passenger/around-you/curated/kimball-junction-sunset.webp","Curated Commons asset","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:Kimball_Junction,_United_States_(Unsplash).jpg","Wikimedia Commons — Patrick Hendry","CC0 — no attribution required","Curated sunset view for the Kimball Junction corridor; optimized to local WebP with metadata stripped."
"deer-valley","Deer Valley","Deer Valley","mountain","Park City / Wasatch Back","Active in app","deer-valley.jpg","/images/passenger/around-you/user/deer-valley-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_0967.jpeg; user-owned original optimized to local WebP with metadata stripped."
"natural-history-museum-utah","Natural History Museum of Utah","Museo de Historia Natural de Utah","culture","Salt Lake corridor","Active in app","natural-history-museum-utah.jpg","/images/passenger/around-you/salt-lake-valley.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://nhmu.utah.edu/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"ensign-peak","Ensign Peak","Ensign Peak","viewpoint","Salt Lake corridor","Active in app","ensign-peak.jpg","/images/passenger/around-you/salt-lake-valley.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://www.slc.gov/parks/parks-division/ensign-peak-nature-park/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"tracy-aviary","Tracy Aviary","Aviario Tracy","nature","Salt Lake corridor","Active in app","tracy-aviary.jpg","/images/passenger/around-you/salt-lake-valley.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://tracyaviary.org/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"hogle-zoo","Utah's Hogle Zoo","Zoológico Hogle de Utah","nature","Salt Lake corridor","Active in app","hogle-zoo.jpg","/images/passenger/around-you/salt-lake-valley.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://www.hoglezoo.org/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"the-gateway","The Gateway","The Gateway","culture","Salt Lake corridor","Active in app","the-gateway.jpg","/images/passenger/around-you/user/the-gateway-juan.webp","Own local asset","No","1","Add expanded copy after image review","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_1412.jpeg; user-owned original optimized to local WebP with metadata stripped."
"gilgal-sculpture-garden","Gilgal Sculpture Garden","Jardín de Esculturas Gilgal","culture","Salt Lake corridor","Active in app","gilgal-sculpture-garden.jpg","/images/passenger/around-you/salt-lake-valley.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://www.slc.gov/parks/parks-division/gilgal-sculpture-garden/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"swaner-preserve","Swaner Preserve","Reserva Swaner","nature","Salt Lake corridor","Active in app","swaner-preserve.jpg","/images/passenger/around-you/user/swaner-preserve-juan.webp","Own local asset","No","1","Add expanded copy after image review","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_0264.jpeg; user-owned original optimized to local WebP with metadata stripped."
"mcpollin-barn","McPolin Barn","Granero McPolin","history","Salt Lake corridor","Active in app","mcpollin-barn.jpg","/images/passenger/around-you/wasatch-back.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://www.parkcity.org/departments/trails-open-space/historic-mcpolin-barn","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"jordanelle-state-park","Jordanelle State Park","Parque Estatal Jordanelle","nature","Salt Lake corridor","Active in app","jordanelle-state-park.jpg","/images/passenger/around-you/wasatch-back.webp","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://stateparks.utah.gov/parks/jordanelle/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"guardsman-pass","Guardsman Pass","Paso Guardsman","viewpoint","Salt Lake corridor","Active in app","guardsman-pass.jpg","/images/passenger/around-you/user/guardsman-pass-juan.webp","Own local asset","No","1","Add expanded copy after image review","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_3408.jpeg; user-owned original optimized to local WebP with metadata stripped."
"egyptian-theatre","Egyptian Theatre","Teatro Egyptian","culture","Salt Lake corridor","Active in app","egyptian-theatre.jpg","/images/passenger/around-you/park-city.jpg","Shared fallback","Yes","1","Add expanded copy after image review","Active coordinates","https://www.egyptiantheatrecompany.org/","","","Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"utah-museum-of-fine-arts","Utah Museum of Fine Arts","Museo de Bellas Artes de Utah","museum","Salt Lake corridor","Candidate — not active","utah-museum-of-fine-arts.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.umfa.utah.edu/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"the-leonardo","The Leonardo","The Leonardo","museum","Salt Lake corridor","Candidate — not active","the-leonardo.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://theleonardo.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"clark-planetarium","Clark Planetarium","Planetario Clark","attraction","Salt Lake corridor","Candidate — not active","clark-planetarium.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://slplanet.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"discovery-gateway","Discovery Gateway Children's Museum","Museo Infantil Discovery Gateway","museum","Salt Lake corridor","Candidate — not active","discovery-gateway.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://discoverygateway.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"salt-palace-convention-center","Salt Palace Convention Center","Centro de Convenciones Salt Palace","transportation","Salt Lake corridor","Candidate — not active","salt-palace-convention-center.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitsaltlake.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"eccles-theater","Eccles Theater","Teatro Eccles","culture","Salt Lake corridor","Candidate — not active","eccles-theater.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.eccles-theater.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"abravanel-hall","Abravanel Hall","Sala Abravanel","culture","Salt Lake corridor","Candidate — not active","abravanel-hall.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://utaharts.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"delta-center","Delta Center","Delta Center","sports","Salt Lake corridor","Candidate — not active","delta-center.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.nba.com/jazz/arena","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"rice-eccles-stadium","Rice-Eccles Stadium","Estadio Rice-Eccles","sports","Salt Lake corridor","Candidate — not active","rice-eccles-stadium.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://stadium.utah.edu/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"america-first-field","America First Field","America First Field","sports","Salt Lake corridor","Candidate — not active","america-first-field.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.rsl.com/america-first-field","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"maverik-stadium","Maverik Stadium","Estadio Maverik","sports","Salt Lake corridor","Candidate — not active","maverik-stadium.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://utahstateaggies.com/facilities/maverik-stadium/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"utah-state-fairpark","Utah State Fairpark","Recinto de la Feria Estatal de Utah","attraction","Salt Lake corridor","Candidate — not active","utah-state-fairpark.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://utahstatefair.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"sugar-house-park","Sugar House Park","Parque Sugar House","park","Salt Lake corridor","Candidate — not active","sugar-house-park.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/parks/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"9th-and-9th","9th & 9th","9th & 9th","neighborhood","Salt Lake corridor","Candidate — not active","9th-and-9th.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitsaltlake.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"the-avenues","The Avenues","The Avenues","neighborhood","Salt Lake corridor","Candidate — not active","the-avenues.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"memory-grove-park","Memory Grove Park","Parque Memory Grove","park","Salt Lake corridor","Candidate — not active","memory-grove-park.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/parks/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"jordan-river-parkway","Jordan River Parkway","Corredor Jordan River","nature","Salt Lake corridor","Candidate — not active","jordan-river-parkway.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.slc.gov/parks/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"bonneville-shoreline-trail","Bonneville Shoreline Trail","Sendero Bonneville Shoreline","trail","Salt Lake corridor","Candidate — not active","bonneville-shoreline-trail.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"big-cottonwood-canyon","Big Cottonwood Canyon","Cañón Big Cottonwood","mountain","Park City / Wasatch Back","Candidate — not active","big-cottonwood-canyon.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"little-cottonwood-canyon","Little Cottonwood Canyon","Cañón Little Cottonwood","mountain","Park City / Wasatch Back","Candidate — not active","little-cottonwood-canyon.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"millcreek-canyon","Millcreek Canyon","Cañón Millcreek","mountain","Salt Lake corridor","Candidate — not active","millcreek-canyon.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"snowbird","Snowbird","Snowbird","resort","Park City / Wasatch Back","Candidate — not active","snowbird.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.snowbird.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"alta-ski-area","Alta Ski Area","Área de esquí Alta","resort","Park City / Wasatch Back","Candidate — not active","alta-ski-area.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.alta.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"solitude-mountain-resort","Solitude Mountain Resort","Resort de montaña Solitude","resort","Park City / Wasatch Back","Candidate — not active","solitude-mountain-resort.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.solitudemountain.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"brighton-resort","Brighton Resort","Resort Brighton","resort","Park City / Wasatch Back","Candidate — not active","brighton-resort.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://brightonresort.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"snowbasin-resort","Snowbasin Resort","Resort Snowbasin","resort","Ogden / Northern Utah","Candidate — not active","snowbasin-resort.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.snowbasin.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"powder-mountain","Powder Mountain","Powder Mountain","resort","Ogden / Northern Utah","Candidate — not active","powder-mountain.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.powdermountain.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"canyons-village","Canyons Village at Park City","Canyons Village en Park City","resort","Park City / Wasatch Back","Candidate — not active","canyons-village.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitparkcity.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"park-city-mountain","Park City Mountain","Park City Mountain","resort","Park City / Wasatch Back","Candidate — not active","park-city-mountain.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitparkcity.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"park-city-library","Park City Library","Biblioteca de Park City","culture","Park City / Wasatch Back","Candidate — not active","park-city-library.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.visitparkcity.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"park-city-museum","Park City Museum","Museo de Park City","museum","Park City / Wasatch Back","Candidate — not active","park-city-museum.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.parkcityhistory.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"woodward-park-city","Woodward Park City","Woodward Park City","attraction","Park City / Wasatch Back","Candidate — not active","woodward-park-city.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://woodwardparkcity.com/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"heber-valley-railroad","Heber Valley Railroad","Ferrocarril del Valle de Heber","transportation","Utah County","Candidate — not active","heber-valley-railroad.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.hebervalleyrr.org/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"deer-creek-reservoir","Deer Creek Reservoir","Embalse Deer Creek","nature","Utah County","Candidate — not active","deer-creek-reservoir.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://stateparks.utah.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"provo-canyon","Provo Canyon","Cañón Provo","mountain","Utah County","Candidate — not active","provo-canyon.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"bridal-veil-falls","Bridal Veil Falls","Cascadas Bridal Veil","nature","Utah County","Candidate — not active","bridal-veil-falls.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
"mount-timpanogos","Mount Timpanogos","Monte Timpanogos","mountain","Utah County","Candidate — not active","mount-timpanogos.jpg","","Missing original","Yes","1","Needs EN/ES copy","To verify before catalog import","https://www.fs.usda.gov/","","","Candidate for later local catalog import; confirm GPS trigger radius and image rights before enabling. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
